steps,calories_burned,sleep_hours,heart_rate_avg,cluster
4530,2543.02,1.5,176,3
11613,1720.76,6.3,128,0
27335,1706.35,6.7,134,2
13459,2912.38,11.6,116,0
15378,3344.51,7.4,84,2
29800,1812.5,7.0,120,2
498,3553.37,7.4,154,0
9081,3679.95,4.2,152,3
9724,3082.07,6.1,86,1
27460,1547.16,4.6,87,2
11282,2750.65,0.5,167,3
19076,3462.39,2.2,100,2
23910,2025.84,0.1,131,3
18735,3982.39,8.1,132,0
11162,3363.78,10.2,128,0
22850,3831.47,0.3,141,3
20127,3664.69,7.2,76,2
18165,3984.15,9.8,84,2
24993,1511.86,3.9,105,2
19439,3455.02,9.3,65,2
27762,3432.03,4.5,151,3
2821,2157.13,7.4,144,0
13343,3484.76,10.3,96,0
2992,2759.26,8.1,176,0
14417,3910.01,10.8,139,0
28144,2799.9,5.7,175,3
4798,2620.92,5.1,74,1
22274,1951.05,0.6,121,3
9556,3581.64,7.9,97,1
13549,1948.82,7.0,68,1
23425,2668.68,0.5,83,2
12897,2367.4,11.3,175,0
1572,1683.07,8.0,68,1
2417,1804.38,5.7,137,1
26462,3240.08,11.7,160,0
12437,2197.36,0.9,163,3
26423,2600.71,0.9,160,3
13133,2083.37,4.3,76,1
8033,3658.93,3.9,117,1
16201,2238.35,6.0,172,3
5632,3282.66,4.8,63,1
14056,3781.09,10.2,106,0
5389,3058.01,1.0,87,1
16306,3594.96,4.3,132,3
27311,2488.04,6.3,177,3
10109,2603.91,1.4,158,3
12390,1741.93,2.9,153,3
15675,2809.05,3.2,86,1
3278,3328.3,5.4,175,3
15402,3715.85,5.1,118,3
9826,2426.15,11.8,73,1
330,2700.05,6.9,83,1
29438,2399.34,11.5,60,2
28897,2247.05,1.4,146,3
19249,2759.89,0.1,76,2
11002,3934.54,7.5,158,0
29678,3349.07,2.3,90,2
431,2969.94,2.6,102,1
22350,2109.15,2.7,68,2
5340,1878.64,0.1,125,3
21504,1747.0,9.1,76,2
29725,2099.17,1.7,110,2
3364,3998.92,9.8,64,1
3582,1868.32,10.2,88,1
28800,1772.87,5.6,88,2
11889,2361.55,1.5,106,3
28801,3304.39,9.3,91,2
2022,1688.99,8.0,145,0
20503,3683.4,7.5,92,2
21722,3698.94,3.7,105,2
5792,3549.59,4.9,156,3
12574,2705.94,10.9,78,1
5484,2654.35,1.8,91,1
11949,2864.7,0.7,127,3
242,3827.13,9.5,98,1
2912,2100.46,8.3,78,1
18122,2022.75,8.7,174,0
19353,3756.76,9.8,87,2
7721,2689.83,8.4,115,1
24512,3455.55,4.9,102,2
626,3506.11,11.4,64,1
24390,3504.99,0.3,87,2
21754,2150.95,1.8,67,2
530,2448.33,7.4,77,1
29294,1811.6,11.3,77,2
24371,2985.58,2.6,109,2
1768,1722.24,2.2,70,1
10390,1704.65,6.6,144,0
14,1878.03,0.2,175,3
16030,3601.22,8.2,112,0
4826,3125.88,1.6,72,1
28480,2456.45,3.9,74,2
21027,3143.28,3.6,173,3
15022,1597.47,11.9,114,0
13837,3670.87,0.8,142,3
14454,2848.31,11.3,120,0
18715,3470.2,4.1,147,3
28,2104.8,11.9,61,1
6719,3951.91,6.6,88,1
5728,2695.76,4.5,88,1
29962,1660.34,7.8,125,2
26221,1762.27,2.1,117,2
13690,3163.04,8.7,170,0
15880,2888.8,12.0,136,0
15290,3905.71,3.4,145,3
6747,3858.17,10.3,104,1
27841,2362.27,1.7,72,2
28102,1668.99,4.8,150,3
21093,3800.79,9.0,115,2
14333,2134.76,7.0,176,0
27712,1609.23,2.3,64,2
25138,3334.13,7.8,93,2
21216,1951.81,5.0,140,3
13495,3731.98,6.7,104,1
24202,1559.08,10.8,139,0
15039,3740.15,6.0,147,3
7338,3155.71,1.0,160,3
9418,2785.41,5.1,90,1
2249,1716.64,11.7,125,0
12682,3185.29,7.9,89,1
17231,2151.77,8.3,169,0
24035,2034.65,8.7,70,2
4119,1741.12,8.8,125,0
11423,3763.52,8.3,60,1
24507,1673.87,1.4,85,2
20722,2732.63,9.9,84,2
13697,1552.78,5.4,89,1
23629,2587.12,4.5,174,3
8488,3289.56,8.1,172,0
15210,2225.33,8.3,94,2
13743,3690.3,11.9,125,0
10200,1665.47,10.4,66,1
7309,1882.33,1.9,132,3
1130,3820.1,1.6,130,1
9161,2379.19,3.0,168,3
21767,2914.96,8.6,137,0
8188,3918.44,1.0,114,3
19007,3123.27,11.0,177,0
15736,1768.96,5.9,81,2
17244,3115.58,1.5,168,3
17281,2372.17,6.0,150,3
6044,2905.25,11.3,145,0
20534,2642.12,1.3,71,2
28765,3119.01,11.3,175,0
6540,1805.13,4.5,80,1
7546,2558.41,7.4,161,0
24607,3172.46,3.8,88,2
14551,2144.17,10.8,79,2
4796,2232.55,10.7,101,1
29405,2046.65,9.8,92,2
14615,2996.04,10.6,120,0
21139,3499.57,6.0,151,3
16161,2340.62,0.0,98,3
26267,1713.29,0.1,71,2
17438,3311.99,6.1,73,2
7114,1595.74,9.4,100,1
5774,3233.67,3.0,77,1
29755,2365.36,9.1,109,2
8124,3860.26,3.4,167,3
21263,3995.08,3.2,64,2
4810,2434.31,7.4,90,1
15302,1646.31,3.8,67,1
7104,2638.94,4.9,177,3
28383,2668.59,0.3,100,2
4881,1794.23,9.1,160,0
26799,1573.76,7.3,89,2
3564,1555.18,2.8,176,3
18511,2691.08,4.2,116,3
28344,1889.46,9.7,145,0
24741,1861.82,8.5,151,0
2172,2130.33,9.5,122,1
11247,3798.26,3.4,84,1
15295,3414.5,7.0,94,2
22519,3135.34,5.9,71,2
17198,3702.3,7.1,84,2
21460,2552.31,7.5,170,0
3359,1610.75,5.1,178,3
8958,3102.41,4.9,143,3
15393,2094.3,7.4,136,0
5337,3212.11,8.8,153,0
3819,3230.39,3.6,96,1
13520,2392.79,3.0,147,3
4493,3332.84,7.3,144,0
24737,3636.88,2.1,106,2
25206,1711.18,10.9,129,0
13589,3086.08,9.8,143,0
18893,2716.6,4.2,127,3
11905,2236.42,10.8,76,1
20852,2293.53,11.4,77,2
13068,3889.15,7.3,66,1
27525,3634.67,9.7,132,2
16988,3535.61,7.9,162,0
2751,3284.8,7.2,170,0
15989,2162.76,10.9,101,0
22037,3181.13,7.0,149,0
14958,2314.57,10.7,110,0
10975,3993.4,2.4,177,3
8672,2101.32,10.9,78,1
5833,2102.24,3.2,177,3
18143,3523.19,11.2,102,0
1804,2988.27,9.1,78,1
592,2065.83,9.2,112,1
